Country,Clicks,Impressions,CTR,Position
India,13,1029,1.26%,45.62
United States,10,3687,0.27%,47.08
Japan,3,78,3.85%,9.27
Netherlands,2,27,7.41%,20.07
Portugal,2,16,12.5%,23.31
Canada,1,1583,0.06%,41.45
Australia,1,523,0.19%,50.55
South Korea,1,105,0.95%,9.72
France,1,45,2.22%,24.04
Germany,1,40,2.5%,35.08
Pakistan,1,28,3.57%,34.68
Poland,1,15,6.67%,20.6
Uruguay,1,12,8.33%,15.5
Singapore,1,10,10%,17.9
Bulgaria,1,3,33.33%,8
United Kingdom,0,515,0%,51.95
Ireland,0,338,0%,47.94
Brazil,0,37,0%,20.14
Vietnam,0,37,0%,29.38
Spain,0,34,0%,14.68
Italy,0,34,0%,18.56
Mexico,0,26,0%,15.46
Indonesia,0,24,0%,24.25
Philippines,0,21,0%,19.52
Argentina,0,18,0%,33.17
Denmark,0,14,0%,12.07
Saudi Arabia,0,14,0%,20.07
Egypt,0,14,0%,20.36
Russia,0,13,0%,28.62
Colombia,0,12,0%,13.92
Turkey,0,12,0%,23.75
Morocco,0,11,0%,38.55
Thailand,0,10,0%,11.7
Czechia,0,10,0%,14.7
South Africa,0,9,0%,27.44
Ukraine,0,8,0%,6.75
China,0,8,0%,9.62
Belgium,0,8,0%,12.38
Israel,0,8,0%,27.62
Bangladesh,0,8,0%,34.25
Romania,0,7,0%,29.57
Sweden,0,6,0%,7.17
Switzerland,0,6,0%,12.5
Ecuador,0,6,0%,26.5
Algeria,0,6,0%,29.83
Sri Lanka,0,5,0%,6.2
Norway,0,5,0%,19.6
Luxembourg,0,5,0%,32.8
New Zealand,0,4,0%,6
Tunisia,0,4,0%,6.5
Hungary,0,4,0%,7.25
Dominican Republic,0,4,0%,8
Malaysia,0,4,0%,10.75
Moldova,0,4,0%,22.5
Peru,0,4,0%,26.5
Estonia,0,3,0%,6.33
Seychelles,0,3,0%,8.33
Puerto Rico,0,3,0%,9
Nicaragua,0,3,0%,9.33
Finland,0,3,0%,11.33
Lebanon,0,3,0%,18
United Arab Emirates,0,3,0%,21.67
Greece,0,3,0%,29.33
Taiwan,0,3,0%,34.33
Cambodia,0,2,0%,5
Serbia,0,2,0%,6.5
Georgia,0,2,0%,7
Iceland,0,2,0%,9.5
Austria,0,2,0%,10.5
Bosnia & Herzegovina,0,2,0%,11.5
Syria,0,2,0%,11.5
Chile,0,2,0%,19.5
Nigeria,0,2,0%,28
Trinidad & Tobago,0,2,0%,28
Iran,0,2,0%,36
Lithuania,0,1,0%,4
Venezuela,0,1,0%,4
Honduras,0,1,0%,5
Belarus,0,1,0%,7
Guam,0,1,0%,7
Iraq,0,1,0%,7
Liechtenstein,0,1,0%,7
Ghana,0,1,0%,8
Montenegro,0,1,0%,8
Latvia,0,1,0%,10
El Salvador,0,1,0%,10
Mauritius,0,1,0%,11
Panama,0,1,0%,12
Slovakia,0,1,0%,12
Laos,0,1,0%,14
Armenia,0,1,0%,15
Bolivia,0,1,0%,18
Zimbabwe,0,1,0%,19
Azerbaijan,0,1,0%,20
Hong Kong,0,1,0%,27
Kosovo,0,1,0%,28
Oman,0,1,0%,31
Togo,0,1,0%,34
Cameroon,0,1,0%,42
Albania,0,1,0%,53
