Date,Clicks,Impressions,CTR,Position
2026-01-29,0,0,,
2026-01-30,0,1,0%,10
2026-01-31,0,27,0%,22.9
2026-02-01,0,48,0%,32.2
2026-02-02,0,154,0%,44.4
2026-02-03,2,171,1.17%,49.8
2026-02-04,2,325,0.62%,51.6
2026-02-05,2,431,0.46%,42.4
2026-02-06,1,209,0.48%,39.7
2026-02-07,3,99,3.03%,33.1
2026-02-08,0,212,0%,41.8
2026-02-09,1,526,0.19%,51.7
2026-02-10,2,357,0.56%,38.7
2026-02-11,4,400,1%,37.7
2026-02-12,3,609,0.49%,46.5
2026-02-13,2,517,0.39%,46.1
2026-02-14,2,685,0.29%,24.1
2026-02-15,0,671,0%,45.7
2026-02-16,1,412,0.24%,44.7
2026-02-17,2,677,0.3%,52.1
2026-02-18,3,467,0.64%,47.4
2026-02-19,2,583,0.34%,43.9
2026-02-20,2,209,0.96%,39.8
2026-02-21,0,197,0%,37.9
2026-02-22,1,156,0.64%,42.9
2026-02-23,5,449,1.11%,46.2
